propertyId,propertyName,secondary_property_type,primary_property_type,latitude,longitude,year_built,address_1,state_abbreviated,msa_code,zip_code,county_name,size,size_field,valuation,population10,income10
7292,Mark Plaza,Shopping Center,Shopping Center,41.2568,-75.90829,1968.0,18 Mark Plaza,PA,"Scranton--Wilkes-Barre--Hazleton, PA",18704-3104,Luzerne,106856.0,sqft,54.795739138734,209295.0,54010.0
7297,New Loudon Center,Shopping Center,Shopping Center,42.754532,-73.757605,,873 New Loudon Road,NY,"Albany-Schenectady-Troy, NY",12110-2150,Albany,255673.0,sqft,102.216699896261,489391.0,64662.0
7305,Plaza 422,Shopping Center,Shopping Center,40.340358,-76.397519,1972.0,801-833 East Walnut Street,PA,"Lebanon, PA",17042-5658,Lebanon,156279.0,sqft,59.3462644785287,125961.0,56666.0
21685,Route 6 Plaza,Shopping Center,Shopping Center,41.551376,-75.229356,1994.0,650 Old Willow Avenue,PA,,18431-4218,Wayne,175589.0,sqft,95.0794334090224,30894.0,54658.0
32938,Crossroads Shopping Center,Shopping Center,Shopping Center,41.042146,-73.798611,,423 Tarrytown Road,NY,"New York-Newark-Jersey City, NY-NJ-PA",10607-1313,Westchester,311904.0,sqft,96.0335933181751,862109.0,113466.0
32939,Village Commons Shopping Center,Shopping Center,Shopping Center,40.855076,-73.192518,1955.0,18-27 East Main Street,NY,"New York-Newark-Jersey City, NY-NJ-PA",11787-2804,Suffolk,87128.0,sqft,226.165051646301,728411.0,105199.0
32940,Branch Plaza,Shopping Center,Shopping Center,40.855237,-73.189452,1965.0,126 East Main Street,NY,"New York-Newark-Jersey City, NY-NJ-PA",11787-2882,Suffolk,123378.0,sqft,281.167911131063,731522.0,105038.0
32941,Elmwood Park Shopping Center,Shopping Center,Shopping Center,40.919039,-74.124216,1951.0,100 Broadway,NJ,"New York-Newark-Jersey City, NY-NJ-PA",07407-3025,Bergen,143910.0,sqft,201.056181673762,1586462.0,94509.0
32942,Marketplace of Absecon,Shopping Center,Shopping Center,39.43279,-74.510793,1995.0,674 White Horse Pike,NJ,"Atlantic City-Hammonton, NJ",08201-2302,Atlantic,104556.0,sqft,153.798692597338,214811.0,60508.0
32945,Abington Towne Center,Shopping Center,Shopping Center,40.12518,-75.1158,1958.0,1495 Old York Road,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19001-1923,Montgomery,216278.0,sqft,81.4356664940395,1453313.0,60407.0
51921,Pacesetter Park Shopping Center,Shopping Center,Shopping Center,41.18248,-74.04617,,1581 US Route 202,NY,"New York-Newark-Jersey City, NY-NJ-PA",10970-2901,Rockland,97806.0,sqft,174.774231477125,417101.0,99271.0
10024488,White Plains Road 4401,Single Tenant,Other Retail,40.8988,-73.85446,,4401 White Plains Road,NY,"New York-Newark-Jersey City, NY-NJ-PA",10470-1606,Bronx,12964.0,sqft,669.489779484997,3630684.0,67974.0
10030603,654 Broadway,Multi-Use,Multi-Use,40.72695,-73.99526,,654 Broadway,NY,"New York-Newark-Jersey City, NY-NJ-PA",10012-2327,New York,2896.0,sqft,1468.20773644948,7506529.0,68727.0
