tenantInstitutionId,tenantInstitutionName,sector,industry_group,industry,sub_industry
4438978,Church & Dwight Co. Inc.,Consumer Staples,Household and Personal Products,Household Products,Household Products
4434384,PVH Corp.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4430541,Datatel Resources Corp.,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Office Services and Supplies
4412174,UPMC,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
4552947,"Flying Food Group, LLC",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4550096,Ashley Furniture Industries Inc.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Home Furnishings
4433955,Pennsylvania Hospital,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4430418,N F & M International Inc,,,,
4429400,Hush Puppies,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear
4422296,Lakes Venture LLC,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
4416846,HRC Investors Corp.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4552381,"Ellis Medicine, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4535921,Maison Kayser Pte Ltd,,,,
4509697,AECOM,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
4402539,MTY Food Group Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4393150,France Télévisions SA,Communication Services,Media and Entertainment,Media,Cable and Satellite
4375586,Round One Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities
4368575,Albany Medical Center,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4355832,Deloitte,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4346052,"Juniper Communities, LLC",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4344582,AutoZone Inc.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
4327254,Bunny Williams Incorporated,,,,
4391531,Deckers Outdoor Corp.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear
4376393,AmeriPath Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4335346,"Hudson Global, Inc",Industrials,Commercial and Professional Services,Professional Services,Human Resource and Employment Services
4327275,Macquarie New York Parking 2 LLC,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Environmental and Facilities Services
4552246,SoFive Inc.,,,,
4429426,Metro-North Commuter Railroad Co.,Industrials,Transportation,Road and Rail,Railroads
4424953,SAAB Sensis Corp.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
4403529,Monarch Electric Co.,Consumer Discretionary,Retailing,Distributors,Distributors
4384788,The Kraft Heinz Co.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats
4382715,Securitas Security Services USA Inc.,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Security and Alarm Services
4380961,H & M Hennes & Mauritz AB (publ),Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4376599,Immunomedics Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology
4361408,Otsuka Pharmaceutical Co. Ltd.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals
4306596,Elmcroft Assisted Living LLC,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4303720,"Saks Fifth Avenue, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4297770,"SHOE SHOW, INC.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4292292,Goodyear India Ltd.,Consumer Discretionary,Automobiles and Components,Auto Components,Tires and Rubber
4389475,Destination XL Group Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4379438,FedEx Corp.,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
4341207,"Brady Worldwide, Inc",Industrials,Commercial and Professional Services,Commercial Services and Supplies,Office Services and Supplies
4340855,Riverbed Technology Inc.,Information Technology,Software and Services,Software,Application Software
4314554,Duro Bag Manufacturing Co,Materials,Materials,Containers and Packaging,Paper Packaging
4313668,"Carolina Herrera, Ltd.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4310225,Pet Retail Brands,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4306048,Penn Medicine,,,,
4280847,WuXi AppTec Inc.,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services,Life Sciences Tools and Services
4278005,"The McGuire Group, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4327213,Doris Leslie Blau,,,,
4316671,Ann Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4306525,Chelsea Senior Living,,,,
4295963,"H. D. Smith, LLC",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Distributors
4273204,Northern Tier Energy LLC,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing
4272318,"Spencer Gifts, LLC",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4256987,Under Armour Inc.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4256835,The North Face Inc.,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products
4256215,Select Medical Corp.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4254293,Steward Health Care System LLC,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4253073,Black & Veatch Holding Co.,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
4273510,Oracle America Inc.,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
4271957,Fresenius Medical Care AG & Co. KGaA,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4263230,GameStop Corp.,Consumer Discretionary,Retailing,Specialty Retail,Computer and Electronics Retail
4258467,Aaron's Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4254272,BioScrip Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4253053,Yard House USA Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4252151,Williams-Sonoma Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4244060,"Executive Health Resources, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
4295478,Gold's Gym International Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities
4286786,Triumph Group Inc.,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense
4279217,"Qlik Technologies, Inc.",Information Technology,Software and Services,Software,Application Software
4276792,Five Below Inc.,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4313783,Quik Park Garage Corp.,Industrials,Commercial and Professional Services,Commercial Services and Supplies,Environmental and Facilities Services
4313656,Li & Fung Ltd.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4306781,"RGH Enterprises, Inc.",Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
4280348,Alamo Drafthouse Cinemas Ltd.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4280325,"Brandywine Senior Living, LLC",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4238985,Fitzpatrick Cella Harper & Scinto,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4237749,Infor,,,,
4232987,Payless Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4229520,Big Apple Souvenirs & Gifts,,,,
4225724,UPS Store,,,,
